players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
25,26.6,56.9,36,396,3240,36,64,52,116,62,2,2,67,6,57.0,55.5,42.6,98.1,806,1738,1.78,1.44,3.22,1.72,3.17,1.58,1.18,2.77,1.54,2.72,/en/squads/18bb7c10/Arsenal-Stats
28,27.8,50.6,36,396,3240,36,54,43,97,51,3,6,73,3,54.3,49.5,40.4,89.9,678,1254,1.5,1.19,2.69,1.42,2.61,1.51,1.12,2.63,1.38,2.5,/en/squads/8602292d/Aston-Villa-Stats
29,25.9,48.3,36,396,3240,36,54,39,93,48,6,7,94,2,61.3,55.8,41.9,97.7,719,1411,1.5,1.08,2.58,1.33,2.42,1.7,1.16,2.87,1.55,2.71,/en/squads/4ba7cbea/Bournemouth-Stats
28,26.6,47.7,36,396,3240,36,62,42,104,57,5,5,57,1,55.0,51.2,40.4,91.6,559,1273,1.72,1.17,2.89,1.58,2.75,1.53,1.12,2.65,1.42,2.54,/en/squads/cd051869/Brentford-Stats
31,25.7,52.1,36,396,3240,36,57,38,95,51,6,6,76,3,54.3,49.6,37.8,87.4,766,1432,1.58,1.06,2.64,1.42,2.47,1.51,1.05,2.56,1.38,2.43,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,24.5,57.6,36,396,3240,36,59,45,104,55,4,5,98,2,65.9,62.0,51.0,112.9,827,1537,1.64,1.25,2.89,1.53,2.78,1.83,1.42,3.25,1.72,3.14,/en/squads/cff3d9bb/Chelsea-Stats
29,27.0,43.4,36,396,3240,36,44,34,78,41,3,4,79,4,57.0,53.8,43.1,96.9,474,1113,1.22,0.94,2.17,1.14,2.08,1.58,1.2,2.78,1.5,2.69,/en/squads/47c64c55/Crystal-Palace-Stats
26,28.8,40.8,36,396,3240,36,36,25,61,34,2,2,77,2,37.9,36.4,29.0,65.3,461,984,1.0,0.69,1.69,0.94,1.64,1.05,0.81,1.86,1.01,1.81,/en/squads/d3fd31cc/Everton-Stats
26,28.8,52.5,36,396,3240,36,50,43,93,47,3,4,76,2,46.8,43.6,36.5,80.1,750,1492,1.39,1.19,2.58,1.31,2.5,1.3,1.01,2.31,1.21,2.23,/en/squads/fd962109/Fulham-Stats
32,26.6,40.3,36,396,3240,36,34,25,59,32,2,2,91,5,32.2,30.6,22.5,53.1,470,853,0.94,0.69,1.64,0.89,1.58,0.9,0.62,1.52,0.85,1.48,/en/squads/b74092de/Ipswich-Town-Stats
31,27.4,45.5,36,396,3240,36,31,23,54,29,2,3,84,0,31.6,29.3,24.3,53.7,558,1037,0.86,0.64,1.5,0.81,1.44,0.88,0.68,1.55,0.82,1.49,/en/squads/a2d435b3/Leicester-City-Stats
24,28.0,57.6,36,396,3240,36,82,62,144,73,9,9,65,2,77.8,70.9,57.6,128.5,777,1803,2.28,1.72,4.0,2.03,3.75,2.16,1.6,3.76,1.97,3.57,/en/squads/822bd0ba/Liverpool-Stats
29,27.6,61.7,36,396,3240,36,66,48,114,64,2,3,58,1,63.6,61.2,51.1,112.3,1085,1847,1.83,1.33,3.17,1.78,3.11,1.77,1.42,3.19,1.7,3.12,/en/squads/b8fd03ef/Manchester-City-Stats
31,26.2,53.2,36,396,3240,36,40,28,68,37,3,3,78,3,49.4,47.0,37.6,84.6,653,1351,1.11,0.78,1.89,1.03,1.81,1.37,1.05,2.42,1.31,2.35,/en/squads/19538871/Manchester-United-Stats
24,28.2,51.0,36,396,3240,36,66,50,116,61,5,6,64,1,61.1,56.8,44.1,100.9,704,1506,1.83,1.39,3.22,1.69,3.08,1.7,1.22,2.92,1.58,2.8,/en/squads/b2b47a98/Newcastle-United-Stats
23,26.9,40.9,36,396,3240,36,55,41,96,52,3,3,85,2,42.4,40.0,31.3,71.3,597,1048,1.53,1.14,2.67,1.44,2.58,1.18,0.87,2.05,1.11,1.98,/en/squads/e4a775cb/Nottingham-Forest-Stats
35,26.1,48.8,36,396,3240,36,24,15,39,24,0,2,88,3,30.8,29.1,23.7,52.8,618,1080,0.67,0.42,1.08,0.67,1.08,0.86,0.66,1.51,0.81,1.47,/en/squads/33c895d4/Southampton-Stats
31,25.8,55.8,36,396,3240,36,60,47,107,58,2,3,67,1,56.2,53.9,42.7,96.5,813,1565,1.67,1.31,2.97,1.61,2.92,1.56,1.18,2.75,1.5,2.68,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,28.9,47.9,36,396,3240,36,39,26,65,36,3,3,75,3,44.8,42.5,32.4,74.9,593,1145,1.08,0.72,1.81,1.0,1.72,1.24,0.9,2.14,1.18,2.08,/en/squads/7c21e445/West-Ham-United-Stats
31,27.7,47.5,36,396,3240,36,50,39,89,50,0,0,75,2,41.3,41.3,33.3,74.5,568,1100,1.39,1.08,2.47,1.39,2.47,1.15,0.92,2.07,1.15,2.07,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,27.3,45.3,35,385,3150,35,35,20,55,29,6,8,99,5,37.7,31.4,23.1,54.5,414,1082,1.0,0.57,1.57,0.83,1.4,1.08,0.66,1.74,0.9,1.56,/en/squads/8d6fd021/Alaves-Stats
